Date/Time,Lot,Description,Address,Zip,Latitude,Longitude,Available,Map Point
3/14/18 13:15,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,236,"(34.01158, -118.48997)"
3/14/18 13:20,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,236,"(34.01158, -118.48997)"
3/14/18 13:25,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,236,"(34.01158, -118.48997)"
3/14/18 13:30,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,234,"(34.01158, -118.48997)"
3/14/18 13:35,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,230,"(34.01158, -118.48997)"
3/14/18 13:40,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,226,"(34.01158, -118.48997)"
3/14/18 13:45,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,225,"(34.01158, -118.48997)"
3/14/18 13:50,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,226,"(34.01158, -118.48997)"
3/14/18 13:55,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,229,"(34.01158, -118.48997)"
3/14/18 14:00,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,226,"(34.01158, -118.48997)"
3/14/18 14:05,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,225,"(34.01158, -118.48997)"
3/14/18 14:10,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,225,"(34.01158, -118.48997)"
3/14/18 14:15,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,223,"(34.01158, -118.48997)"
3/14/18 14:20,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,225,"(34.01158, -118.48997)"
3/14/18 14:25,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,227,"(34.01158, -118.48997)"
3/14/18 14:30,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,223,"(34.01158, -118.48997)"
3/14/18 14:35,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,223,"(34.01158, -118.48997)"
3/14/18 14:40,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,227,"(34.01158, -118.48997)"
3/14/18 14:45,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,231,"(34.01158, -118.48997)"
3/14/18 14:50,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,235,"(34.01158, -118.48997)"
3/14/18 14:55,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,231,"(34.01158, -118.48997)"
3/14/18 15:00,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,238,"(34.01158, -118.48997)"
3/14/18 15:05,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,247,"(34.01158, -118.48997)"
3/14/18 15:10,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,247,"(34.01158, -118.48997)"
3/14/18 15:15,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,248,"(34.01158, -118.48997)"
3/14/18 15:20,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,251,"(34.01158, -118.48997)"
3/14/18 15:25,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,254,"(34.01158, -118.48997)"
3/14/18 15:30,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,254,"(34.01158, -118.48997)"
3/14/18 15:35,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,254,"(34.01158, -118.48997)"
3/14/18 15:40,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,260,"(34.01158, -118.48997)"
3/14/18 15:45,Civic Center,Civic Center Parking Structure,333 Civic Center Dr at 4th St,90401,34.01158,-118.48997,260,"(34.01158, -118.48997)"
