Date/Time,Lot,Description,Address,Zip,Latitude,Longitude,Available,Map Point
11/1/17 0:00,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:05,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:10,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:15,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:20,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:25,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:30,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:35,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:40,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:45,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:50,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 0:55,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:00,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:05,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:10,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:15,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:20,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:25,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:30,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:35,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:40,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:45,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:50,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 1:55,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:00,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:05,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:10,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:15,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:20,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:25,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:30,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:35,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:40,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:45,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:50,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 2:55,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:00,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:05,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:10,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:15,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:20,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:25,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:30,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:35,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:40,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
11/1/17 3:45,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,460,"(34.016806, -118.50275)"
